BKSProcessAssertionClient,BSBaseXPCClient
DOMHTMLFontElement,DOMHTMLElement
UIKeyboardCandidateGrid,UIView
_UIDynamicCaretHelpLabel,UIImageView
UIAlertAction,NSObject
TIZephyrCandidate,TIKeyboardCandidateSingle
NSReduceObservationTransformer,NSObservationTransformer
_UIModalItemAppViewController,UIViewController
UITableViewCellFocusableReorderControl,UITableViewCellReorderControl
LSApplicationWorkspaceObserver,NSObject
_UITableViewCellSeparatorView,UIView
UIRuntimeAccessibilityConfiguration,NSObject
CIAztecCodeGenerator,CICodeGenerator
_UIDocumentPickerDocumentTableViewController,UITableViewController
DOMHTMLFieldSetElement,DOMHTMLElement
CUIShapeEffectBlur1,CIFilter
_UISceneSettingsMediaTimingAnimationFactory,NSObject
UIRepeatedAction,NSObject
__NSCFURLLocalStreamTaskWorkWrite,__NSCFURLLocalStreamTaskWork
NSConcretePortCoder,NSPortCoder
FBSDisplayLayoutMonitor,NSObject
UITableViewLabel,UILabel
_UINonEditableTextSelectionForceGesture,_UITextSelectionForceGesture
UIModalView,UIView
WebDarkSystemBackdropLayer,WebSystemBackdropLayer
NSConstantString,NSSimpleCString
CAMeshTransform,NSObject
UIStoryboardUnwindSegueSource,NSObject
_UIGlobalUserDefaults,NSUserDefaults
CIBurstImageStat,NSObject
TIChineseShared,NSObject
NSFileReadingWritingClaim,NSFileAccessClaim
NSKeyValueNonmutatingOrderedSetMethodSet,NSKeyValueNonmutatingCollectionMethodSet
_UILAConfigurationHistory,NSObject
UIStatusBarServer,NSObject
UICustomObject,NSObject
__NSCFConstantString,__NSCFString
CIPremultiply,CIFilter
_NSCFWikipediaProtocol,NSURLProtocol
_NSKeyedUnarchiveFromDataTransformer,_NSSharedValueTransformer
UIPrintInteractionControllerInternals,NSObject
UIKeyboardBackdropCornerView,UIView
_UIAlertImageView,UIImageView
UIKeyboardSquishTransition,UIKeyboardKeyplaneTransition
__NSFastEnumerationEnumerator,NSEnumerator
UITextMagnifierCaret,UITextMagnifier
_UILazyMapTable,NSObject
CUIThemeRendition,NSObject
NSKeyValueMutatingOrderedSetMethodSet,NSKeyValueMutatingCollectionMethodSet
_UIModalItemSBViewController,UIViewController
_UIViewControllerNullAnimationTransitionCoordinator,NSObject
NSCompoundPredicateOperator,NSPredicateOperator
AUHostExtensionContext,NSExtensionContext
NSValueTransformer,NSObject
UIKBBackdropView,_UIBackdropView
UIKeyboardCandidateGridLayout,UICollectionViewLayout
UIPeripheralHostView,UIView
NSCorrectionCheckingResult,NSSubstitutionCheckingResult
UIPlaceholderColor,UIColor
NSPortCoder,NSCoder
UIActivityItemProvider,NSOperation
FontAssetDownloadManager,NSObject
CISampler,NSObject
NSObservedValue,NSObject
NSConcreteData,NSData
UIWebRotatingAlertController,_UIRotatingAlertController
UIOldSliderFillView,UIView
DOMCharacterData,DOMNode
UITextMagnifierCaretRenderer,UITextMagnifierCommonRenderer
NSProcessInfo,NSObject
UIPrinterSetupConfigureViewController,UITableViewController
DOMNodeIterator,DOMObject
NSExtendedRegularExpressionCheckingResult,NSRegularExpressionCheckingResult
UICTFont,UIFont
CIRectangleDetector,CIDetector
UIDebuggingInformationOverlay,UIWindow
BSXPCConnectionListener,NSObject
UITableViewCellContentMirror,UIView
UIInputViewSet,NSObject
_UINavigationBarAppearanceStorage,_UIBarAppearanceStorage
_UIRectUnionSet,NSObject
CIRAWGamutMapping,CIFilter
__NSCFURLLocalStreamTaskFromDataTask,__NSCFURLLocalStreamTask
SBSStatusBarStyleOverridesAssertionData,NSObject
TIWordTokenizer,NSObject
NSException,NSObject
_UIModalItemAccessoryViewControllerForLegacyAlert,UIViewController
UIKBHandwritingStrokePointFIFO,UIKBHandwritingPointFIFO
CIFilterShape,NSObject
WebGeolocationPositionInternal,NSObject
UIFieldBehavior,UIDynamicBehavior
UIWebClip,NSObject
UIPickerTableView,UITableView
FBSSettingsDiffInspector,NSObject
UICalloutView,UIControl
SBSRemoteAlertActivationOptions,NSObject
UIKeyboardFlipTransitionView,UIKeyboardSplitTransitionView
CFPDContainerSource,CFPDSource
_NSZeroData,NSData
UIRuntimeOutletConnection,UIRuntimeConnection
__NSCFAttributedString,NSMutableAttributedString
UIApplication,UIResponder
UIKBContainerKeyView,UIKBKeyView
UIStoryboardUnwindSegueTemplate,UIStoryboardSegueTemplate
_UICompatibilityTextViewData,NSObject
CIBurstFaceStat,NSObject
_UISearchControllerInPlaceSearchBarAnimator,_UISearchControllerAnimator
_UILayoutArrangement,NSObject
NSSimpleRegularExpressionCheckingResult,NSRegularExpressionCheckingResult
CAMutableMeshTransform,CAMeshTransform
DOMHTMLObjectElement,DOMHTMLElement
OS_xpc_string,OS_xpc_object
UNSNotificationSchedule,NSObject
NSUnkeyedPortCoder,NSConcretePortCoder
AUAudioUnitPreset,NSObject
UICachedDeviceRGBColor,UIDeviceRGBColor
FBSWorkspaceResponse,NSObject
NSURLProtocolInternal,NSObject
WebScriptObjectPrivate,NSObject
_NSPlaceholderData,NSData
LSOpenOperation,NSOperation
UIStatusBarQuietModeItemView,UIStatusBarIndicatorItemView
UIFont,NSObject
NSKeyValueNonmutatingSetMethodSet,NSKeyValueNonmutatingCollectionMethodSet
NSOutputStream,NSStream
NSCustomPredicateOperator,NSPredicateOperator
UIPickerTableViewWrapperCell,UIPickerTableViewCell
_NSSharedValueTransformer,NSValueTransformer
UIKeyboardCandidateGridCollectionViewController,UIViewController
UIRowMoveUpdateItem,UIUpdateItem
UIInputViewPostPinningReloadState,NSObject
_UICachedSceneProperties,NSObject
AutoCropper,NSObject
_UIStoryboardUnwindChain,NSObject
NSSingleLineTypesetter,NSATSTypesetter
NSAboutURLProtocol,NSURLProtocol
UIGroupTableViewCellBackground,UIView
WebDefaultResourceLoadDelegate,NSObject
CFPDSource,NSObject
_UIPopoverShadowlessSlidingChromeView,_UIPopoverSlidingChromeView
DOMUIEvent,DOMEvent
UITableViewCellDetailDisclosureView,UIControl
_UILabelContentLayer,CALayer
CUIPSDLayerEffectColorOverlay,CUIPSDLayerEffectComponent
CIUnpremultiply,CIFilter
NSISO2022EncodingDetector,NSEncodingDetector
NSFilterObservationTransformer,NSObservationTransformer
_UITextEffectsRemoteView,_UIRemoteView
UIPrinterSetupPINScrollView,UIScrollView
_UIWindowRotationAnimationController,_UIWindowAnimationController
UNSNotificationSchedulerService,NSObject
_UIFocusPointToPointScrollAnimator,NSObject
WebLayer,WebSimpleLayer
_UIModalItemHostingWindow,UIWindow
NSOrthographyCheckingResult,NSTextCheckingResult
UIKeyboardCandidateBarShadow,UIView
CIAffineTile,CIFilter
_UIDynamicCaretAlternatives,UIView
_UIViewServiceUIBehaviorProxy,_UITargetedProxy
NSURLConnectionInternalConnection,NSURLConnectionInternal
SBSApplicationShortcutTemplateIcon,SBSApplicationShortcutIcon
TIHandwritingCompositionCandidate,TIKeyboardCandidateSingle
UIWebClipIcon,NSObject
_UIAlertControllerShimPresenter,NSObject
UIStatusBarPublisher,NSObject
CIBurstThumbnailCluster,NSObject
AVAssetDownloadTask,NSURLSessionTask
UIKeyboardCandidateGridCollectionView,UIKBCandidateCollectionView
_UIStepperButton,UIButton
NSXPCDecoder,NSXPCCoder
UITableViewCellLayoutManager,NSObject
_UIUserDefaultsActivity,UIActivity
_ReachabilityRequest,NSObject
NSPointerArray,NSObject
DOMDocumentFragment,DOMNode
_UIDynamicCaretNoContentView,UIImageView
UITextMagnifierTimeWeightedPoint,NSObject
_CUIThemeEffectRendition,CUIThemeRendition
CITriangleTile,CIFilter
TITextInputTraits,NSObject
BKSHIDEventKeyCommandDescriptor,BKSHIDEventDescriptor
UIScrollView,UIView
DOMValidityState,DOMObject
UITextTapRecognizer,UITapGestureRecognizer
_UIDocumentPickerDocumentTableView,UITableView
WebHistoryPrivate,NSObject
UIViewAnimationContext,NSObject
DOMHTMLModElement,DOMHTMLElement
CUIOuterBevelEmbossFilter,CIFilter
UIStoryboardModalSegueTemplate,UIStoryboardSegueTemplate
AUAudioUnitBus,NSObject
__NSCFURLLocalStreamTaskFromDataTaskDataBlobby,NSObject
CUIPSDLayerEffectGradientOverlay,CUIPSDLayerEffectComponent
UICachedDevicePatternColor,UICGColor
_UIPopoverAnimationController,NSObject
NSKeyValueSet,NSSet
NSFileSecurity,NSObject
UIStatusBarOrientationAnimationParameters,UIStatusBarAnimationParameters
WebScriptObject,NSObject
LSObserverTimer,NSObject
_UIScrollViewGradientMaskView,UIView
_UIImageViewPretiledImageWrapper,NSObject
UIKBHandwritingPointFIFO,NSObject
NSKeyValueProxyShareKey,NSObject
_UIAlertControlleriOSActionSheetCancelBackgroundView,UIView
BKSProcessAssertionUpdateEvent,BKSProcessAssertionEvent
UIImageNibPlaceholder,UIImage
